Time (s),CH1,CH2
-0.0011904051897547974,0.24656250000000002,0.24656250000000002
-0.0011900051880109283,-0.225,-0.225
-0.0011896051862670591,0.24703125,0.24703125
-0.00118920518452319,-0.22453125000000002,-0.22453125000000002
-0.0011888051827793208,0.246875,0.246875
-0.0011884051810354516,-0.224375,-0.224375
-0.0011880051792915825,0.246875,0.246875
-0.0011876051775477133,-0.22453125000000002,-0.22453125000000002
-0.0011872051758038441,0.2471875,0.2471875
-0.001186805174059975,-0.22453125000000002,-0.22453125000000002
-0.0011864051723161058,0.24656250000000002,0.24656250000000002
-0.0011860051705722366,-0.224375,-0.224375
-0.0011856051688283675,0.2459375,0.2459375
-0.0011852051670844983,-0.22421875,-0.22421875
-0.0011848051653406291,0.24671875000000001,0.24671875000000001
-0.00118440516359676,-0.22390625,-0.22390625
-0.0011840051618528908,0.24671875000000001,0.24671875000000001
-0.0011836051601090216,-0.2246875,-0.2246875
-0.0011832051583651525,0.24671875000000001,0.24671875000000001
-0.0011828051566212833,-0.2246875,-0.2246875
-0.0011824051548774141,0.24703125,0.24703125
-0.001182005153133545,-0.2246875,-0.2246875
-0.0011816051513896758,0.24671875000000001,0.24671875000000001
-0.0011812051496458067,-0.2246875,-0.2246875
-0.0011808051479019375,0.24671875000000001,0.24671875000000001
-0.0011804051461580683,-0.224375,-0.224375
-0.0011800051444141992,0.24656250000000002,0.24656250000000002
-0.00117960514267033,-0.2246875,-0.2246875
-0.0011792051409264608,0.24656250000000002,0.24656250000000002
-0.0011788051391825917,-0.22421875,-0.22421875
-0.0011784051374387225,0.24656250000000002,0.24656250000000002
-0.0011780051356948533,-0.22390625,-0.22390625
-0.0011776051339509842,0.24656250000000002,0.24656250000000002
-0.001177205132207115,-0.22453125000000002,-0.22453125000000002
-0.0011768051304632458,0.24656250000000002,0.24656250000000002
-0.0011764051287193767,-0.224375,-0.224375
-0.0011760051269755075,0.24609375,0.24609375
-0.0011756051252316383,-0.22421875,-0.22421875
-0.0011752051234877692,0.2459375,0.2459375
-0.0011748051217439,-0.22453125000000002,-0.22453125000000002
-0.0011744051200000309,0.24609375,0.24609375
-0.0011740051182561617,-0.22421875,-0.22421875
-0.0011736051165122925,0.2459375,0.2459375
-0.0011732051147684234,-0.2240625,-0.2240625
-0.0011728051130245542,0.24609375,0.24609375
-0.001172405111280685,-0.22375,-0.22375
-0.0011720051095368159,0.245625,0.245625
-0.0011716051077929467,-0.22312500000000002,-0.22312500000000002
-0.0011712051060490775,0.24531250000000002,0.24531250000000002
-0.0011708051043052084,-0.22312500000000002,-0.22312500000000002
-0.0011704051025613392,0.24578125,0.24578125
-0.00117000510081747,-0.22328125000000001,-0.22328125000000001
-0.0011696050990736009,0.24546875,0.24546875
-0.0011692050973297317,-0.22359375,-0.22359375
-0.0011688050955858625,0.24546875,0.24546875
-0.0011684050938419934,-0.22375,-0.22375
-0.0011680050920981242,0.24531250000000002,0.24531250000000002
-0.001167605090354255,-0.2234375,-0.2234375
-0.0011672050886103859,0.2446875,0.2446875
-0.0011668050868665167,-0.22312500000000002,-0.22312500000000002
-0.0011664050851226476,0.24531250000000002,0.24531250000000002
-0.0011660050833787784,-0.22296875,-0.22296875
-0.0011656050816349092,0.24546875,0.24546875
-0.00116520507989104,-0.22296875,-0.22296875
-0.001164805078147171,0.24546875,0.24546875
-0.0011644050764033017,-0.22296875,-0.22296875
-0.0011640050746594326,0.245,0.245
-0.0011636050729155634,-0.22265625,-0.22265625
